name,phi,psi,theta,energy
aspartame,100,80,nan,-28020.10701150173
aspartame,120,-100,nan,-28019.96876269941
aspartame,120,-120,nan,-28019.85991198905
aspartame,120,-140,nan,-28014.73257546791
aspartame,120,-160,nan,-28020.217823336614
aspartame,120,-180,nan,-28019.39826240615
aspartame,120,-20,nan,-28016.803861471246
aspartame,120,-40,nan,-28018.92957106102
aspartame,120,-60,nan,-28020.199395514544
aspartame,120,-80,nan,-28018.04962398542
aspartame,120,0,nan,-28020.349934883146
aspartame,120,100,nan,-28020.061671891963
aspartame,120,120,nan,-28019.862778708466
aspartame,120,140,nan,-28018.20194651609
aspartame,120,160,nan,-28020.232067952456
aspartame,120,180,nan,-28018.42712943502
aspartame,120,20,nan,-28018.787019866617
aspartame,120,40,nan,-28019.596953681164
aspartame,120,60,nan,-28020.1681075919
aspartame,120,80,nan,-28014.235896124806
aspartame,140,-100,nan,-28019.089697000578
aspartame,140,-120,nan,-28019.095663096752
aspartame,140,-140,nan,-28019.107807537894
aspartame,140,-160,nan,-28018.96875082956
aspartame,140,-180,nan,-28019.12705605534
aspartame,140,-20,nan,-28019.10519089111
aspartame,140,-40,nan,-28019.066057926157
aspartame,140,-60,nan,-28018.999645547687
aspartame,140,-80,nan,-28019.16233860931
aspartame,140,0,nan,-28019.100165492517
aspartame,140,100,nan,-28019.097437823282
aspartame,140,120,nan,-28019.092134052225
aspartame,140,140,nan,-28019.162240648322
aspartame,140,160,nan,-28018.985496443805
aspartame,140,180,nan,-28019.078311212845
aspartame,140,20,nan,-28019.1280356652
aspartame,140,40,nan,-28019.111721351408
aspartame,140,60,nan,-28018.976869618404
aspartame,140,80,nan,-28019.11033629191
aspartame,160,-100,nan,-28016.51039838438
aspartame,160,-120,nan,-28016.624130817218
aspartame,160,-140,nan,-28016.549307399633
aspartame,160,-160,nan,-28016.435888714062
aspartame,160,-180,nan,-28016.68445981844
aspartame,160,-20,nan,-28016.592447241037
aspartame,160,-40,nan,-28016.483980483317
