name,phi,psi,theta,cnn_energy
aspartame,140.0,-100.0,,-645953.961348092
aspartame,140.0,100.0,,-645958.8978410119
aspartame,-140.0,-120.0,,-646004.7827592248
aspartame,-140.0,120.0,,-646011.027174508
aspartame,140.0,-120.0,,-645956.0345597619
aspartame,140.0,120.0,,-645957.787519967
aspartame,-140.0,-140.0,,-646008.6726212853
aspartame,-140.0,140.0,,-646002.5654740685
aspartame,140.0,-140.0,,-645960.3331742638
aspartame,140.0,140.0,,-645953.802565133
aspartame,-140.0,-160.0,,-645995.4026322716
aspartame,-140.0,160.0,,-645999.4415727013
aspartame,140.0,-160.0,,-645961.0274491662
aspartame,140.0,160.0,,-645958.7342973107
aspartame,-140.0,-180.0,,-646002.8975053185
aspartame,-140.0,180.0,,-646000.9620805138
aspartame,140.0,-180.0,,-645952.8075089806
aspartame,140.0,180.0,,-645960.1538529748
aspartame,-140.0,-20.0,,-646008.8643021935
aspartame,-140.0,20.0,,-646008.8874345177
aspartame,140.0,-20.0,,-645958.4451737755
aspartame,140.0,20.0,,-645954.4274735802
aspartame,-140.0,-40.0,,-646003.7009110802
aspartame,-140.0,40.0,,-646008.2180619591
aspartame,140.0,-40.0,,-645959.2561478966
aspartame,140.0,40.0,,-645954.467207467
aspartame,-140.0,-60.0,,-646006.3347916955
aspartame,-140.0,60.0,,-645997.9747147912
aspartame,140.0,-60.0,,-645955.5427384728
aspartame,140.0,60.0,,-645959.0764298791
aspartame,-140.0,-80.0,,-646010.7010331505
aspartame,-140.0,80.0,,-646002.6009660119
aspartame,140.0,-80.0,,-645955.1693559045
aspartame,140.0,80.0,,-645959.8361649865
aspartame,-160.0,0.0,,-645932.91323713
aspartame,160.0,0.0,,-645929.0970750207
aspartame,-160.0,-100.0,,-645930.6624589318
aspartame,-160.0,100.0,,-645934.5563340539
aspartame,160.0,-100.0,,-645923.0850358361
aspartame,160.0,100.0,,-645931.6064591759
aspartame,-160.0,-120.0,,-645935.1624894494
